Timestamp,Date,Time,Bus,Count,OnOff,Latitude,Longitude,Route,Stop
6/26/21 09:21:38,6/26/2021,9:13:43,2405,2,on,35.30211258,-80.73274231,Green,Levine Hall E
6/26/21 09:43:20,6/26/2021,9:21:38,2404,1,on,35.30111694,-80.7357254,Green,South Village Deck
6/26/21 09:44:54,6/26/2021,9:43:20,2404,1,on,35.30329132,-80.72944641,Green,Robinson Hall N
6/26/21 09:57:31,6/26/2021,9:44:54,2405,1,on,35.30806351,-80.73272705,Green,Student Union E
6/26/21 11:05:22,6/26/2021,9:57:31,2404,1,on,35.30698013,-80.72949219,Green,Fretwell S
6/26/21 11:08:22,6/26/2021,11:05:22,2404,2,on,35.30112076,-80.73457336,Green,South Village Deck
6/26/21 11:21:19,6/26/2021,11:08:22,2405,2,on,35.30800629,-80.73266602,Green,Student Union E
6/26/21 11:36:23,6/26/2021,11:21:19,2405,1,on,35.30330658,-80.72943878,Green,Cato Hall N
6/26/21 12:11:48,6/26/2021,11:36:23,2405,1,on,35.30509567,-80.72824097,Green,Cato Hall S
6/26/21 12:23:44,6/26/2021,12:11:48,2405,1,on,35.31195831,-80.73349762,Green,Wallis Hall W/Light Rail
6/26/21 12:30:56,6/26/2021,12:23:44,2404,1,on,35.30804443,-80.73270416,Green,Student Union E
6/26/21 12:35:46,6/26/2021,12:30:56,2405,1,on,35.30755997,-80.72930145,Green,Fretwell N
6/26/21 12:38:55,6/26/2021,12:35:46,2405,2,on,35.31195831,-80.73342133,Green,Wallis Hall W/Light Rail
6/26/21 12:39:59,6/26/2021,12:38:55,2404,1,on,35.30213165,-80.73271179,Green,Levine Hall E
6/26/21 12:48:17,6/26/2021,12:39:59,2405,2,on,35.30810928,-80.73278046,Green,Student Union E
6/26/21 13:12:44,6/26/2021,12:48:17,2404,1,on,35.3080368,-80.73275757,Green,Student Union E
6/26/21 13:13:20,6/26/2021,13:12:44,2404,2,on,35.3119545,-80.73348999,Green,Wallis Hall W/Light Rail
6/26/21 13:24:30,6/26/2021,13:13:20,2405,4,on,35.30117035,-80.7357254,Green,South Village Deck
6/26/21 13:56:53,6/26/2021,13:24:30,2405,1,on,35.31198502,-80.73338318,Green,Wallis Hall W/Light Rail
6/26/21 14:08:13,6/26/2021,13:56:53,2404,1,on,35.31200409,-80.7333374,Green,Wallis Hall W/Light Rail
6/26/21 14:15:25,6/26/2021,14:08:13,2405,1,on,35.31197357,-80.73342133,Green,Wallis Hall W/Light Rail
6/26/21 14:17:22,6/26/2021,14:15:25,2404,1,on,35.30953598,-80.72954559,Green,Student Health N
6/26/21 15:02:59,6/26/2021,14:17:22,2405,1,on,35.30427551,-80.73215485,Green,Robinson Hall S
6/26/21 15:06:31,6/26/2021,15:02:59,2405,1,on,35.31194687,-80.73340607,Green,Wallis Hall W/Light Rail
6/26/21 16:06:40,6/26/2021,15:06:31,2405,1,on,35.30804062,-80.73282623,Green,Student Union E
6/26/21 16:22:02,6/26/2021,16:06:40,2404,1,on,35.31194687,-80.73343658,Green,Wallis Hall W/Light Rail
6/26/21 16:22:37,6/26/2021,16:22:02,2404,1,on,35.30323792,-80.72937012,Green,Robinson Hall N
6/26/21 17:08:12,6/26/2021,16:22:37,2405,1,on,35.30813217,-80.7328186,Green,Student Union E
6/26/21 17:20:04,6/26/2021,17:08:12,2405,1,on,35.30808258,-80.73274994,Green,Student Union E
6/26/21 17:29:30,6/26/2021,17:20:04,2405,2,on,35.30334854,-80.72945404,Green,Robinson Hall N
6/26/21 17:57:47,6/26/2021,17:29:30,2405,1,on,35.30805206,-80.73273468,Green,Student Union E
6/26/21 18:00:51,6/26/2021,17:57:47,2405,1,on,35.30438995,-80.7353363,Green,Cone Deck W
6/26/21 18:24:51,6/26/2021,18:00:51,2404,1,on,35.31197357,-80.73342896,Green,Wallis Hall W/Light Rail
6/26/21 18:39:26,6/26/2021,18:24:51,2404,1,on,35.3118515,-80.73339081,Green,Wallis Hall W/Light Rail
6/26/21 18:41:26,6/26/2021,18:39:26,2405,3,on,35.30802536,-80.73240662,Green,Student Union E
6/26/21 18:47:27,6/26/2021,18:41:26,2404,1,on,35.30760574,-80.72926331,Green,Fretwell N
6/26/21 19:04:29,6/26/2021,18:47:27,2405,1,on,35.30415344,-80.73527527,Green,Cone Deck W
6/26/21 19:25:22,6/26/2021,19:04:29,2405,2,on,35.30808258,-80.73280335,Green,Student Union E
6/26/21 19:35:48,6/26/2021,19:25:22,2405,1,on,35.31196594,-80.73304749,Green,Wallis Hall W/Light Rail
6/26/21 19:50:20,6/26/2021,19:35:48,2405,1,on,35.30410004,-80.73514557,Green,Cone Deck W
6/26/21 20:28:27,6/26/2021,19:50:20,2404,1,on,35.30213928,-80.73278809,Green,Levine Hall E
6/26/21 20:30:10,6/26/2021,20:28:27,2404,1,on,35.30804825,-80.73031616,Green,Aux Services East
6/26/21 20:32:55,6/26/2021,20:30:10,2405,1,on,35.30751038,-80.72962189,Green,Fretwell N
6/26/21 20:40:29,6/26/2021,20:32:55,2404,1,on,35.30344772,-80.72941589,Green,Robinson Hall S
6/26/21 20:58:37,6/26/2021,20:40:29,2404,1,on,35.30334854,-80.72943115,Green,Robinson Hall N
6/27/21 09:11:58,6/26/2021,20:58:37,2405,1,on,35.3147316,-80.72973633,Green,North Deck
6/27/21 09:28:02,6/27/2021,9:11:58,2402,1,on,35.31198502,-80.73335266,Green,Wallis Hall W/Light Rail
6/27/21 09:37:47,6/27/2021,9:28:02,2402,1,on,35.30330277,-80.72947693,Green,Robinson Hall N
6/27/21 10:36:44,6/27/2021,9:37:47,2410,1,on,35.30106354,-80.7357254,Green,South Village Deck
6/27/21 10:49:31,6/27/2021,10:36:44,2402,1,on,35.30210495,-80.73273468,Green,Levine Hall E
6/27/21 11:09:25,6/27/2021,10:49:31,2410,1,on,35.30333328,-80.72948456,Green,Robinson Hall N
6/27/21 11:09:33,6/27/2021,11:09:25,2402,3,on,35.31196213,-80.73338318,Green,Wallis Hall W/Light Rail
6/27/21 11:39:30,6/27/2021,11:09:33,2410,1,on,35.3044014,-80.73272705,Green,Reese West
6/27/21 11:51:28,6/27/2021,11:39:30,2402,1,on,35.30807877,-80.73274231,Green,Student Union E
6/27/21 12:23:05,6/27/2021,11:51:28,2410,7,on,35.30801392,-80.73272705,Green,Student Union E
6/27/21 12:29:50,6/27/2021,12:23:05,2410,1,on,35.30438232,-80.73274994,Green,Reese West
6/27/21 12:50:31,6/27/2021,12:29:50,2410,1,on,35.30330658,-80.72945404,Green,Robinson Hall N
6/27/21 13:20:35,6/27/2021,12:50:31,2410,1,on,35.30111313,-80.73577881,Green,South Village Deck
6/27/21 13:21:35,6/27/2021,13:20:35,2402,1,off,35.30807333,-80.73041,Green,Fretwell S
6/27/21 13:21:37,6/27/2021,13:21:35,2402,1,on,35.30807333,-80.73041,Green,Fretwell S
6/27/21 13:26:44,6/27/2021,13:21:37,2402,1,on,35.30701828,-80.72943878,Green,Fretwell S
6/27/21 13:42:29,6/27/2021,13:26:44,2410,1,on,35.31200409,-80.73344421,Green,Wallis Hall W/Light Rail
6/27/21 13:42:30,6/27/2021,13:42:29,2402,1,on,35.30807333,-80.73041,Green,Student Union E
6/27/21 13:44:26,6/27/2021,13:42:30,2402,1,on,35.30839157,-80.73273468,Green,Student Union E
6/27/21 14:01:00,6/27/2021,13:44:26,2402,1,off,35.30807333,-80.73041,Green,Student Union E
6/27/21 14:13:08,6/27/2021,14:01:00,2410,1,off,35.308016,-80.73045907,Green,Aux Services East
6/27/21 14:29:56,6/27/2021,14:13:08,2410,1,on,35.30801588,-80.7304553,Green,Aux Services East
6/27/21 14:29:58,6/27/2021,14:29:56,2410,1,on,35.308325,-80.73007833,Green,Robinson Hall N
6/27/21 14:32:06,6/27/2021,14:29:58,2410,1,on,35.30330658,-80.72943878,Green,Robinson Hall N
6/27/21 14:46:12,6/27/2021,14:32:06,2410,1,off,35.308325,-80.73007833,Green,Cato Hall N
6/27/21 14:46:15,6/27/2021,14:46:12,2402,1,on,35.30807333,-80.73041,Green,Robinson Hall N
6/27/21 14:46:17,6/27/2021,14:46:15,2402,1,on,35.30807333,-80.73041,Green,Robinson Hall N
6/27/21 14:53:11,6/27/2021,14:46:17,2402,2,on,35.30337524,-80.72940826,Green,Robinson Hall N
6/27/21 14:53:15,6/27/2021,14:53:11,2402,1,off,35.30807333,-80.73041,Green,Student Union E
6/27/21 15:42:12,6/27/2021,14:53:15,2402,1,off,35.30807333,-80.73041,Green,Student Union E
6/27/21 16:26:36,6/27/2021,15:42:12,2410,1,on,35.3033371,-80.72945404,Green,Robinson Hall N
6/27/21 16:36:06,6/27/2021,16:26:36,2402,2,on,35.30818558,-80.7328186,Green,Student Union E
6/27/21 16:37:35,6/27/2021,16:36:06,2402,1,on,35.30212784,-80.73274231,Green,Levine Hall E
6/27/21 16:43:42,6/27/2021,16:37:35,2410,1,on,35.30810547,-80.73275757,Green,Student Union E
6/27/21 17:29:02,6/27/2021,16:43:42,2402,1,on,35.31194305,-80.73342896,Green,Wallis Hall W/Light Rail
6/27/21 17:58:43,6/27/2021,17:29:02,2402,1,on,35.31192017,-80.73352814,Green,Wallis Hall W/Light Rail
6/27/21 18:05:43,6/27/2021,17:58:43,2402,1,on,35.3080864,-80.7328186,Green,Student Union E
6/27/21 18:26:38,6/27/2021,18:05:43,2410,1,on,35.31184769,-80.73334503,Green,Wallis Hall W/Light Rail
6/27/21 18:35:02,6/27/2021,18:26:38,2410,1,on,35.31197357,-80.73339844,Green,Wallis Hall W/Light Rail
6/27/21 18:41:06,6/27/2021,18:35:02,2402,3,on,35.31064987,-80.72924042,Green,Student Health N
6/27/21 18:55:33,6/27/2021,18:41:06,2402,1,on,35.31215668,-80.73384857,Green,Wallis Hall W/Light Rail
6/27/21 19:24:45,6/27/2021,18:55:33,2410,1,on,35.30813217,-80.7328186,Green,Student Union E
6/27/21 19:28:07,6/27/2021,19:24:45,2402,1,on,35.31190872,-80.733078,Green,Wallis Hall W/Light Rail
6/28/21 06:03:04,6/27/2021,19:28:07,2402,1,on,35.30802918,-80.7326889,Green,Student Union E
6/28/21 06:14:10,6/28/2021,6:03:04,2411,1,on,35.30335617,-80.72946167,Green,Robinson Hall N
6/28/21 06:23:04,6/28/2021,6:14:10,2411,1,on,35.30802918,-80.73273468,Green,Student Union E
6/28/21 06:26:04,6/28/2021,6:23:04,2402,1,on,35.31193161,-80.73331451,Green,Wallis Hall W/Light Rail
6/28/21 06:45:03,6/28/2021,6:26:04,2402,1,on,35.30802155,-80.73268127,Green,Student Union E
6/28/21 06:52:21,6/28/2021,6:45:03,2402,1,on,35.31195831,-80.73336792,Green,Wallis Hall W/Light Rail
6/28/21 06:52:41,6/28/2021,6:52:21,2411,1,on,35.31066513,-80.72927856,Green,Student Health N
6/28/21 06:58:27,6/28/2021,6:52:41,2402,2,on,35.30505753,-80.7281723,Green,Cato Hall S
6/28/21 07:27:00,6/28/2021,6:58:27,2402,1,on,35.30210495,-80.73278046,Green,Levine Hall E
6/28/21 07:32:06,6/28/2021,7:27:00,2411,1,on,35.30700684,-80.72949982,Green,Fretwell S
6/28/21 07:37:16,6/28/2021,7:32:06,2402,1,on,35.31195831,-80.73336029,Green,Wallis Hall W/Light Rail
6/28/21 07:45:03,6/28/2021,7:37:16,2402,1,on,35.30701828,-80.72954559,Green,Fretwell S
6/28/21 07:51:01,6/28/2021,7:45:03,2411,1,on,35.31196594,-80.73340607,Green,Wallis Hall W/Light Rail
6/28/21 07:52:51,6/28/2021,7:51:01,2411,1,on,35.30699158,-80.72953033,Green,Fretwell S
6/28/21 07:59:07,6/28/2021,7:52:51,2411,2,on,35.30511475,-80.7282486,Green,Cato Hall S
6/28/21 08:05:01,6/28/2021,7:59:07,2411,1,on,35.30212021,-80.73270416,Green,Levine Hall E
6/28/21 08:28:48,6/28/2021,8:05:01,2402,1,on,35.30506897,-80.72819519,Green,Cato Hall S
6/28/21 08:30:52,6/28/2021,8:28:48,2411,1,on,35.30122757,-80.73564911,Green,South Village Deck
6/28/21 08:36:38,6/28/2021,8:30:52,2411,1,on,35.3033905,-80.72946167,Green,Robinson Hall N
6/28/21 08:39:14,6/28/2021,8:36:38,2411,1,on,35.31197357,-80.73347473,Green,Wallis Hall W/Light Rail
6/28/21 08:40:50,6/28/2021,8:39:14,2402,1,on,35.30212021,-80.73277283,Green,Levine Hall E
6/28/21 08:41:12,6/28/2021,8:40:50,2411,1,on,35.31193543,-80.73340607,Green,Wallis Hall W/Light Rail
6/28/21 09:37:28,6/28/2021,8:41:12,2402,1,on,35.30338287,-80.72943115,Green,Robinson Hall N
6/28/21 09:42:20,6/28/2021,9:37:28,2402,1,on,35.30810165,-80.73286438,Green,Student Union E
6/28/21 09:57:34,6/28/2021,9:42:20,2411,1,on,35.30804443,-80.73267365,Green,Student Union E
6/28/21 09:57:46,6/28/2021,9:57:34,2402,1,on,35.31201553,-80.7334671,Green,Wallis Hall W/Light Rail
6/28/21 10:00:26,6/28/2021,9:57:46,2411,1,on,35.3011055,-80.73562622,Green,South Village Deck
6/28/21 10:04:07,6/28/2021,10:00:26,2411,1,on,35.3033905,-80.72949982,Green,Robinson Hall N
6/28/21 10:20:55,6/28/2021,10:04:07,2411,1,on,35.31086731,-80.72943878,Green,Student Health N
6/28/21 10:23:55,6/28/2021,10:20:55,2411,1,on,35.30126953,-80.73594666,Green,South Village Deck
6/28/21 10:32:17,6/28/2021,10:23:55,2402,1,on,35.30812073,-80.73287964,Green,Student Union E
6/28/21 10:40:23,6/28/2021,10:32:17,2402,1,on,35.30338287,-80.72952271,Green,Robinson Hall N
6/28/21 10:43:00,6/28/2021,10:40:23,2411,1,on,35.30112076,-80.73576355,Green,South Village Deck
6/28/21 11:06:32,6/28/2021,10:43:00,2402,2,on,35.30797195,-80.73257446,Green,Student Union E
6/28/21 11:15:57,6/28/2021,11:06:32,2411,1,on,35.31066513,-80.72935486,Green,Student Health N
6/28/21 11:24:01,6/28/2021,11:15:57,2402,4,on,35.30332947,-80.72941589,Green,Robinson Hall N
6/28/21 11:31:07,6/28/2021,11:24:01,2402,1,on,35.31196213,-80.73337555,Green,Wallis Hall W/Light Rail
6/28/21 11:35:39,6/28/2021,11:31:07,2411,2,on,35.30766296,-80.72940826,Green,Fretwell N
6/28/21 11:53:59,6/28/2021,11:35:39,2411,1,on,35.31368256,-80.73196411,Green,North Deck
6/28/21 11:58:46,6/28/2021,11:53:59,2402,4,on,35.30698013,-80.72944641,Green,Fretwell S
6/28/21 12:01:40,6/28/2021,11:58:46,2411,1,on,35.31344986,-80.73208618,Green,North Deck
6/28/21 12:03:53,6/28/2021,12:01:40,2411,2,on,35.3119278,-80.73348236,Green,Wallis Hall W/Light Rail
6/28/21 12:16:29,6/28/2021,12:03:53,2402,2,on,35.3021431,-80.73277283,Green,Levine Hall E
6/28/21 12:26:36,6/28/2021,12:16:29,2411,1,on,35.30114365,-80.7357254,Green,South Village Deck
6/28/21 12:28:54,6/28/2021,12:26:36,2411,1,on,35.31346893,-80.73194122,Green,North Deck
6/28/21 12:30:57,6/28/2021,12:28:54,2411,1,on,35.31193924,-80.73338318,Green,Wallis Hall W/Light Rail
