Timestamp,Date,Time,Bus,Count,OnOff,Latitude,Longitude,Route,Stop
6/28/21 06:03:04,6/27/2021,19:28:07,2402,1,on,35.30802918,-80.7326889,Green,Student Union E
6/28/21 06:14:10,6/28/2021,6:03:04,2411,1,on,35.30335617,-80.72946167,Green,Robinson Hall N
6/28/21 06:23:04,6/28/2021,6:14:10,2411,1,on,35.30802918,-80.73273468,Green,Student Union E
6/28/21 06:26:04,6/28/2021,6:23:04,2402,1,on,35.31193161,-80.73331451,Green,Wallis Hall W/Light Rail
6/28/21 06:45:03,6/28/2021,6:26:04,2402,1,on,35.30802155,-80.73268127,Green,Student Union E
6/28/21 06:52:21,6/28/2021,6:45:03,2402,1,on,35.31195831,-80.73336792,Green,Wallis Hall W/Light Rail
6/28/21 06:52:41,6/28/2021,6:52:21,2411,1,on,35.31066513,-80.72927856,Green,Student Health N
6/28/21 06:58:27,6/28/2021,6:52:41,2402,2,on,35.30505753,-80.7281723,Green,Cato Hall S
6/28/21 07:27:00,6/28/2021,6:58:27,2402,1,on,35.30210495,-80.73278046,Green,Levine Hall E
6/28/21 07:32:06,6/28/2021,7:27:00,2411,1,on,35.30700684,-80.72949982,Green,Fretwell S
6/28/21 07:37:16,6/28/2021,7:32:06,2402,1,on,35.31195831,-80.73336029,Green,Wallis Hall W/Light Rail
6/28/21 07:45:03,6/28/2021,7:37:16,2402,1,on,35.30701828,-80.72954559,Green,Fretwell S
6/28/21 07:51:01,6/28/2021,7:45:03,2411,1,on,35.31196594,-80.73340607,Green,Wallis Hall W/Light Rail
6/28/21 07:52:51,6/28/2021,7:51:01,2411,1,on,35.30699158,-80.72953033,Green,Fretwell S
6/28/21 07:59:07,6/28/2021,7:52:51,2411,2,on,35.30511475,-80.7282486,Green,Cato Hall S
6/28/21 08:05:01,6/28/2021,7:59:07,2411,1,on,35.30212021,-80.73270416,Green,Levine Hall E
6/28/21 08:28:48,6/28/2021,8:05:01,2402,1,on,35.30506897,-80.72819519,Green,Cato Hall S
6/28/21 08:30:52,6/28/2021,8:28:48,2411,1,on,35.30122757,-80.73564911,Green,South Village Deck
6/28/21 08:36:38,6/28/2021,8:30:52,2411,1,on,35.3033905,-80.72946167,Green,Robinson Hall N
6/28/21 08:39:14,6/28/2021,8:36:38,2411,1,on,35.31197357,-80.73347473,Green,Wallis Hall W/Light Rail
6/28/21 08:40:50,6/28/2021,8:39:14,2402,1,on,35.30212021,-80.73277283,Green,Levine Hall E
6/28/21 08:41:12,6/28/2021,8:40:50,2411,1,on,35.31193543,-80.73340607,Green,Wallis Hall W/Light Rail
6/28/21 09:37:28,6/28/2021,8:41:12,2402,1,on,35.30338287,-80.72943115,Green,Robinson Hall N
6/28/21 09:42:20,6/28/2021,9:37:28,2402,1,on,35.30810165,-80.73286438,Green,Student Union E
6/28/21 09:57:34,6/28/2021,9:42:20,2411,1,on,35.30804443,-80.73267365,Green,Student Union E
6/28/21 09:57:46,6/28/2021,9:57:34,2402,1,on,35.31201553,-80.7334671,Green,Wallis Hall W/Light Rail
6/28/21 10:00:26,6/28/2021,9:57:46,2411,1,on,35.3011055,-80.73562622,Green,South Village Deck
6/28/21 10:04:07,6/28/2021,10:00:26,2411,1,on,35.3033905,-80.72949982,Green,Robinson Hall N
6/28/21 10:20:55,6/28/2021,10:04:07,2411,1,on,35.31086731,-80.72943878,Green,Student Health N
6/28/21 10:23:55,6/28/2021,10:20:55,2411,1,on,35.30126953,-80.73594666,Green,South Village Deck
6/28/21 10:32:17,6/28/2021,10:23:55,2402,1,on,35.30812073,-80.73287964,Green,Student Union E
