Building abbreviation,Building Name,Id,Latitude,Longitude
Atki,Atkins Library,1,35.30589304115362,-80.73214474067815
Auxi,Auxiliary Services Building,2,35.30777152215882,-80.73050010372634
BaTF,,3,,
Band,Barnhardt SAC,4,35.30630234706238,-80.7344093006642
BelG,Belk Gymnasium,5,35.305400523040255,-80.73552509953846
BelH,Belk Hall,6,35.310418211085846,-80.73462543774332
Bioi,Bioinformatics,7,35.31267640715162,-80.74200998338922
Burs,Burson,8,35.307534535678194,-80.73236613083795
Cafe,Cafeteria Activities Building,9,35.30911230522635,-80.72825558489548
Came,Cameron Hall,10,35.3077865349813,-80.73119368119363
Cato,Cato Hall,11,35.30544222510962,-80.72872941143298
CoEd,College of Education,12,35.30550548981937,-80.72873019682216
Colv,Colvard,13,35.30460541601236,-80.73173933083798
Cone,Cone University Center,14,35.30530401822078,-80.73314362250628
Coun,Counselling Center,15,35.31012318435123,-80.72990380028139
Denn,Denny,16,35.30546443648395,-80.72984370200263
Duke,Duke Centennial Hall,17,35.311936203433405,-80.74128874194673
EPIC,EPIC,18,35.309025939422504,-80.74162792370868
FOPS,Facilities Operations,19,35.30862817206324,-80.73017578046908
Faci,Facilities Management,20,35.31197128129917,-80.73028863027142
Fret,Fretwell,21,35.30605569666243,-80.72906331158887
Frid,Friday,22,35.30630054349289,-80.72992922150952
Gage,Gage Undergraduate,23,35.30095284830733,-80.73333557692793
Gari,Garinger,24,35.3049591469742,-80.72973315838593
Grig,Grigg Hall,25,35.31131404665103,-80.74198147619241
Harr,Harris Alumni Center,26,35.30274307184936,-80.73869391705975
Heal,Health and Human Services,27,35.310566919060705,-80.72954604449427
Hous,Holshouser Hall,28,35.302080348795094,-80.73607960391733
HunH,Hunt Hall,29,35.30141489149331,-80.7364658419808
Irwi,Irwin Belk Track & Field,30,35.30592503191563,-80.73725137737244
JBui,J-Building,31,35.303894812664105,-80.72879863677528
Kenn,Kennedy,32,35.3059786846422,-80.7309242782812
King,King,33,35.30507209388966,-80.7325318002363
Laur,Laurel Hall,34,35.30248354084036,-80.73592002544395
Levi,Levine Hall,35,35.302816590837175,-80.733061486641
Lync,Lynch Hall,36,35.310224360096946,-80.73382316936647
MSII,Army Buiding near Belk Gym,37,35.30709773298772,-80.73510935834769
Macy,Macy,38,35.30569919531408,-80.73041129093589
Mart,Martin Hall,39,35.31012466874274,-80.72732590207124
McCo,,40,,
McEn,McEniry,41,35.307108128109746,-80.7300169154756
McMi,McMillan Greenhouse,42,35.30776970361139,-80.729681625864
Memo,Memorial Hall,43,35.303738704302454,-80.73585899892771
MilH,Miltimore Hall,44,35.31158648614893,-80.73542874150398
Milt,Miltimore-Waillis Center,45,35.30684978829824,-80.73445377688644
NERF,NRFC Fieldhouse,46,35.30833118569133,-80.73527919811598
PORT,PORTAL,47,35.31164386878899,-80.74298120264842
Phil,,48,,
Pros,Prospector,49,35.30683565594098,-80.73087874881419
Rece,Receiving and Stores,50,35.30947093632979,-80.7297788988901
Rees,Reese,51,35.30465835206202,-80.7325146298894
Robi,Robinson Hall,52,35.303453157479574,-80.72993034023219
Rowe,Rowe,53,35.30461111317007,-80.73077113083795
SVDH,South Village Dining Hall,54,35.30286436652144,-80.7348394247678
Scot,Scott Hall,55,35.30166400707509,-80.73537981665952
Smit,Smith,56,35.306891540723925,-80.73157816033924
SoTF,,57,,
Stor,Storrs,58,35.304630385739735,-80.7291291992021
StuA,Student Activity Center,59,35.30632695529819,-80.73438577991483
StuH,Student Health Center,60,35.31056221884058,-80.72956568417165
StuU,Student Union,61,35.30861812337249,-80.73372933811098
Syca,Sycamore Hall,62,35.30883306185388,-80.72901508791603
Tenn,Halton Wagner Tennis Complex,63,35.307365440108775,-80.73672767428975
UREC,University Recreational Center,64,35.30829645776387,-80.73534102689555
Unio,Union Deck,65,35.3091266678958,-80.73529963072481
Wach,,66,,
Wall,Wallis Hall,67,35.31149266737443,-80.73369384721695
Winn,Winningham,68,35.30513675406152,-80.73041915648714
With,Witherspoon Hall,69,35.31085491817554,-80.73232440788941
Wood,Woodward Hall,70,35.307515862770785,-80.73571705830427
